"Lemma","Freq_in_cxn","Freq"
"stack",1,109029
"staircase",1,46837
"stand",1,298134
"standard",1,1342762
"star",1,770595
"start",1,926054
"station",1,886640
"statistic",1,274321
"Stau",1,NA
"step",1,1355641
"stereotype",1,72687
"steroid",1,43422
"stinkbomb",1,33
"stomachache",1,750
"stop",1,358336
"stopper",1,10132
"streak",1,50519
"stream",1,344385
"strength",1,631303
"strop",1,1874
"studio",1,341799
"stuff-up",1,55
"stupidity",1,40938
"subsidy",1,113035
"substance",1,303715
"subwoofer",1,6527
"suggestion",1,441317
"suite",1,186467
"summary",1,274222
"summation",1,8785
"summer",1,967995
"summit",1,131049
"sunburn",1,6759
"Sunday",1,48047
"sunspot",1,9799
"super-heroine",1,49
"superstring",1,485
"supervillain",1,1085
"supervisor",1,112046
"supervixen",1,1
"surgery",1,329260
"survey",1,651770
"SUV",1,26
"swan",1,24541
"swap",1,53964
"swedge",1,49
"sweep",1,40630
"symbol",1,297287
"symmetry",1,34955
"table",1,1087260
"tackle",1,56890
"tag",1,231025
"tailchase",1,52
"tamale",1,2488
"tamtram",1,NA
"tape",1,263466
"tarp",1,7963
"taxation",1,74485
"taxi",1,146319
"taxodium",1,7
"team",1,3012198
"tear",1,215102
"tear-jerker",1,527
"teaser",1,12848
"technique",1,765580
"temperature",1,614841
"tent",1,176099
"terror",1,156068
"texaco",1,64
"theft",1,121314
"theme",1,624760
"theorem",1,36805
"thighburner",1,NA
"thinking",1,387039
"throat",1,127298
"tie-breaker",1,846
"tightening",1,9145
"toast",1,48156
"tofu",1,13380
"tomato",1,112671
"tome",1,12766
"tongue-lashing",1,396
"torch",1,64032
"tornado",1,36831
"torte",1,1111
"torturer",1,5933
"tory",1,3
"towback",1,28
"town",1,1423935
"toy",1,195490
"traditionalist",1,10196
"trail",1,300373
"traitor",1,32289
"transaction",1,293346
"transformation",1,186340
"treatment",1,1306731
"treaty",1,145690
"triathlon",1,9041
"trickster",1,5490
"trinket",1,8000
"trio",1,60359
"troll",1,44063
"turkey",1,62923
"turn",1,619074
"turnaround",1,27055
"tweak",1,23657
"tweaker",1,435
"type",1,2309807
"typeface",1,20639
"typhoon",1,8692
"typo",1,25208
"ufo",1,838
"ulcer",1,28421
"unclogging",1,NA
"uncontainable",1,NA
"unpleaseable",1,NA
"upgrade",1,132744
"upheaval",1,24827
"upper-cut",1,62
"utility",1,241900
"vacation",1,145802
"validator",1,3142
"variety",1,920679
"VC",1,NA
"venue",1,301679
"version",1,1526528
"video",1,1014287
"view",1,2356961
"viking",1,NA
"villain",1,68554
"volkswagen",1,1
"vortex",1,21014
"vote",1,599352
"vulnerability",1,88669
"VW",1,NA
"WAG",1,NA
"wait",1,101650
"wake",1,115173
"wardrobe",1,59414
"warning",1,318576
"warrior",1,95990
"watch",1,181136
"waterbed",1,659
"web",1,1068297
"wedge",1,41042
"weekend",1,707537
"weekly",1,7142
"whack",1,8871
"wheel",1,443722
"which",1,1
"whistler",1,1026
"whitewash",1,5489
"whitey",1,1439
"whooping",1,NA
"whopper",1,2807
"wickedness",1,19121
"wig",1,24175
"wildcard",1,5812
"wildfire",1,18793
"winter",1,522826
"wipe",1,7578
"witch",1,71094
"withdrawal",1,107013
"wobble",1,8221
"wobbly",1,NA
"woman",1,3567973
"woo",1,NA
"woodburner",1,1428
"workhouse",1,10499
"workstation",1,31940
"world",1,5355120
"worm",1,84520
"worry",1,130491
"wrangle",1,2294
"wrap",1,49274
"wretchedness",1,2780
"writer",1,821080
"XenaFest",1,3
"yacht",1,39763
"year",1,15249944
"zine",1,6449
"zone-out",1,38
